Name,Salary,Owner,ADP,Rank,Age,Position,Bidding Order
Dan Herron,"$1,050,000",Houston Texans,127.33,123,25,RB,
Jeremy Hill,"$7,050,000",Toronto Raiders,29.33,28,22,RB,
Ronnie Hillman,"$450,000",Brooklyn Reds,171.17,167,23,RB,
DeAndre Hopkins,"$7,350,000",Miami Sun Devils,19.5,19,22,WR,
Justin Hunter,"$1,300,000",Philadelphia Stars,85.17,83,23,WR,
Kendall Hunter,"$250,000",Houston Texans,235.0,240,26,RB,
Allen Hurns,"$300,000",Miami Sun Devils,142.83,142,23,WR,
Carlos Hyde,"$4,050,000",Chicago Blitz,35.67,34,23,RB,
Mark Ingram,"$3,200,000",Detroit Panthers,60.0,59,25,RB,
Fred Jackson,"$850,000",Toronto Raiders,172.67,169,33,RB,
Vincent Jackson,"$1,800,000",Boston Glory,103.67,105,31,WR,
Jeff Janis,"$250,000",Houston Texans,144.83,144,23,WR,
Alshon Jeffery,"$8,050,000",Atlanta Fury,13.5,13,24,WR,
Rashad Jennings,"$1,800,000",New York Generals,131.33,129,29,RB,
Andre Johnson,"$800,000",Miami Sun Devils,131.83,130,33,WR,
Calvin Johnson,"$9,150,000",St. Louis Stampede,12.0,11,29,WR,
Charles Johnson,"$3,050,000",Brooklyn Reds,69.0,63,25,WR,
James Jones,"$350,000",Brooklyn Reds,219.5,218,30,WR,
Julio Jones,"$9,300,000",Memphis Showboats,4.67,4,25,WR,
Colin Kaepernick,"$1,000,000",Birmingham Stallions,126.5,121,27,QB,
Brandon LaFell,"$1,150,000",St. Louis Stampede,122.67,117,28,WR,
Eddie Lacy,"$8,000,000",Brooklyn Reds,18.17,18,24,RB,
Cody Latimer,"$1,250,000",New York Generals,70.0,65,22,WR,
Marqise Lee,"$2,050,000",New Orleans Breakers,71.5,66,23,WR,
Andrew Luck,"$8,050,000",Boston Glory,11.33,10,25,QB,
Marshawn Lynch,"$5,400,000",Chicago Blitz,55.17,54,28,RB,
Jeremy Maclin,"$5,750,000",Minnesota Ice,37.17,35,26,WR,
Eli Manning,"$1,500,000",New York Generals,162.17,160,34,QB,
Peyton Manning,"$2,550,000",Chicago Blitz,100.33,100,38,QB,
Brandon Marshall,"$4,050,000",Houston Texans,46.5,44,30,WR,
Tre Mason,"$4,550,000",Jacksonville Bulls,48.83,48,21,RB,
Ryan Mathews,"$900,000",Miami Sun Devils,99.0,99,27,RB,
Jordan Matthews,"$6,000,000",New Orleans Breakers,25.17,25,22,WR,
Josh McCown,"$250,000",Brooklyn Reds,,,,,
LeSean McCoy,"$6,500,000",Philadelphia Stars,17.0,15,26,RB,
Jerick McKinnon,"$2,750,000",Birmingham Stallions,65.83,61,22,RB,
Lamar Miller,"$4,550,000",Jacksonville Bulls,42.5,40,23,RB,
Donte Moncrief,"$4,650,000",Philadelphia Stars,40.67,39,21,WR,
Knowshon Moreno,"$1,050,000",Miami Sun Devils,204.67,196,27,RB,
Alfred Morris,"$3,500,000",Miami Sun Devils,54.83,53,26,RB,
DeMarco Murray,"$7,000,000",St. Louis Stampede,20.0,20,26,RB,
Latavius Murray,"$5,450,000",Toronto Raiders,78.33,73,23,RB,
Cam Newton,"$2,950,000",Jacksonville Bulls,51.67,50,25,QB,
Hakeem Nicks,"$250,000",Jacksonville Bulls,219.17,217,26,WR,
Carson Palmer,"$800,000",St. Louis Stampede,238.83,251,35,QB,
Adrian Peterson,"$4,300,000",Miami Sun Devils,92.67,92,29,RB,
Chris Polk,"$250,000",Brooklyn Reds,184.0,179,25,RB,
Brian Quick,"$1,850,000",Miami Sun Devils,78.5,74,25,WR,
Rueben Randle,"$400,000",Memphis Showboats,106.83,107,23,WR,
Jordan Reed,"$1,850,000",Boston Glory,93.83,94,24,TE,
Paul Richardson,"$350,000",Chicago Blitz,109.5,110,22,WR,
Theo Riddick,"$1,200,000",New York Generals,152.0,147,23,RB,
Mychal Rivera,"$650,000",Minnesota Ice,171.33,168,24,TE,
Philip Rivers,"$2,450,000",Memphis Showboats,136.83,137,33,QB,
Allen Robinson,"$4,000,000",Memphis Showboats,32.33,31,21,WR,
Denard Robinson,"$1,500,000",Philadelphia Stars,114.5,111,24,RB,
Aaron Rodgers,"$9,050,000",Houston Texans,20.67,21,31,QB,
Richard Rodgers,"$1,100,000",Birmingham Stallions,238.5,250,22,TE,
Eddie Royal,"$250,000",Atlanta Fury,236.67,244,28,WR,
Kyle Rudolph,"$1,050,000",Detroit Panthers,122.17,116,25,TE,
Matt Ryan,"$3,400,000",Minnesota Ice,82.83,78,29,QB,
