Name,Salary,Owner,ADP,Rank,Age,Position
Doug Martin,"$1,950,000",San Antonio Bandits,73.5,68,25,RB
Tre Mason,"$4,050,000",Arizona Wranglers,48.83,48,21,RB
Ryan Mathews,"$2,190,000",Invaders,99.0,99,27,RB
Jordan Matthews,"$4,100,000",Las Vegas Sabercats,25.17,25,22,WR
LeSean McCoy,"$6,500,000",i,17.0,15,26,RB
Darren McFadden,"$250,000",Denver Gold,220.83,219,27,RB
Jerick McKinnon,"$1,650,000",Sharks,65.83,61,22,RB
Zach Mettenberger,"$250,000",Charlotte Flyers,196.67,190,23,QB
Christine Michael,"$3,900,000",Oklahoma City Outlaws,68.17,62,24,RB
Heath Miller,"$750,000",Charlotte Flyers,212.5,206,32,TE
Lamar Miller,"$3,750,000",Seattle Thunder,42.5,40,23,RB
Donte Moncrief,"$3,150,000",Arizona Wranglers,40.67,39,21,WR
Knowshon Moreno,"$750,000",Sharks,204.67,196,27,RB
Alfred Morris,"$4,250,000",Invaders,54.83,53,26,RB
DeMarco Murray,"$7,750,000",Calgary Cowboys,20.0,20,26,RB
Latavius Murray,"$5,331,110",b style,78.33,73,23,RB
Jordy Nelson,"$7,500,000",b style,17.17,17,29,WR
Cam Newton,"$3,500,000",San Antonio Bandits,51.67,50,25,QB
Branden Oliver,"$1,200,000",Invaders,154.67,151,23,RB
Greg Olsen,"$3,550,000",Calgary Cowboys,86.17,84,29,TE
Brock Osweiler,"$700,000",Dallas Gamblers,234.33,239,24,QB
Carson Palmer,"$1,150,000",Arizona Wranglers,238.83,251,35,QB
Cordarrelle Patterson,"$1,250,000",Invaders,59.33,58,23,WR
Adrian Peterson,"$6,050,000",Oklahoma City Outlaws,92.67,92,29,RB
Dennis Pitta,"$850,000",Denver Gold,213.0,207,29,TE
Chris Polk,"$250,000",i,184.0,179,25,RB
Brian Quick,"$750,000",Las Vegas Sabercats,78.5,74,25,WR
Joseph Randle,"$1,550,000",Dallas Gamblers,,,,
Rueben Randle,"$700,000",Seattle Thunder,106.83,107,23,WR
Jordan Reed,"$1,000,000",Dallas Gamblers,93.83,94,24,TE
Ray Rice,"$250,000",Seattle Thunder,,,,
Paul Richardson,"$250,000",Arizona Wranglers,109.5,110,22,WR
Trent Richardson,"$600,000",San Antonio Bandits,154.67,150,24,RB
Theo Riddick,"$500,000",Cleveland Rams,152.0,147,23,RB
Stevan Ridley,"$750,000",i,143.5,143,25,RB
Mychal Rivera,"$976,429",Oklahoma City Outlaws,171.33,168,24,TE
Philip Rivers,"$2,550,000",Invaders,136.83,137,33,QB
Allen Robinson,"$3,500,000",i,32.33,31,21,WR
Denard Robinson,"$1,400,000",Seattle Thunder,114.5,111,24,RB
Khiry Robinson,"$1,100,000",San Diego Blazers,123.0,118,25,RB
Aaron Rodgers,"$7,300,000",i,20.67,21,31,QB
Richard Rodgers,"$550,000",Cleveland Rams,238.5,250,22,TE
Ben Roethlisberger,"$1,600,000",Pittsburgh Maulers,116.0,114,32,QB
Tony Romo,"$2,900,000",Sharks,140.17,140,34,QB
Eddie Royal,"$250,000",i,236.67,244,28,WR
Kyle Rudolph,"$950,000",Las Vegas Sabercats,122.17,116,25,TE
Matt Ryan,"$4,450,000",Dallas Gamblers,82.83,78,29,QB
Emmanuel Sanders,"$4,000,000",Pittsburgh Maulers,40.33,38,27,WR
Bishop Sankey,"$1,600,000",San Antonio Bandits,70.0,64,22,RB
Mohamed Sanu,"$400,000",San Antonio Bandits,145.0,146,25,WR
Lache Seastrunk,"$250,000",i,,,,
Austin Seferian-Jenkins,"$1,000,000",Arizona Wranglers,101.83,101,22,TE
Cecil Shorts,"$250,000",San Antonio Bandits,156.33,152,27,WR
Charles Sims,"$1,200,000",San Antonio Bandits,114.67,112,24,RB
Alex Smith,"$450,000",Charlotte Flyers,224.83,227,30,QB
Geno Smith,"$250,000",Pittsburgh Maulers,226.83,229,24,QB
Steve Smith,"$1,200,000",Pittsburgh Maulers,221.5,222,35,WR
Torrey Smith,"$3,750,000",Dallas Gamblers,52.5,51,25,WR
CJ Spiller,"$1,050,000",Oklahoma City Outlaws,90.83,90,27,RB
Darren Sproles,"$550,000",Charlotte Flyers,192.0,187,31,RB
Zac Stacy,"$250,000",Calgary Cowboys,156.5,153,23,RB
Matthew Stafford,"$3,150,000",i,77.0,72,26,QB
James Starks,"$250,000",Seattle Thunder,211.83,205,28,RB
Jonathan Stewart,"$2,190,000",Sharks,105.83,106,27,RB
Kenny Stills,"$1,900,000",Las Vegas Sabercats,83.17,79,22,WR
Rod Streater,"$250,000",Dallas Gamblers,217.83,212,26,WR
Lorenzo Taliaferro,"$250,000",b style,169.5,165,23,RB
Ryan Tannehill,"$2,500,000",Invaders,98.67,98,26,QB
Golden Tate,"$4,350,000",Seattle Thunder,45.0,42,26,WR
De'Anthony Thomas,"$250,000",Cleveland Rams,204.17,195,22,RB
Demaryius Thomas,"$9,300,000",Las Vegas Sabercats,4.83,5,27,WR
Julius Thomas,"$3,950,000",Denver Gold,37.33,37,26,TE
Pierre Thomas,"$300,000",Denver Gold,191.5,185,30,RB
Zurlon Tipton,"$250,000",i,,,,
Robert Turbin,"$300,000",San Diego Blazers,,,,
Shane Vereen,"$2,250,000",i,98.33,97,25,RB
Delanie Walker,"$1,100,000",Sharks,166.33,162,30,TE
Mike Wallace,"$3,300,000",Pittsburgh Maulers,76.67,71,28,WR
